Diagnostic Group,Diagnostic Code,Diagnostic Name,Alternative Name,Definition (if needed)
ss,1,Skin snip + microscopy,,"A tiny slice of the skin is then removed with a small razorblade. To observe the microfilariae, the skin snip is placed in saline or incubated in a cultured medium. The microfilarial load is estimated by counting the emerging microfilariae using microscopy."
ss,2,Skin snip + PCR,"qPCR, RT-PCR, PCR are all different types of PCR and for our intent and purposes fall into this diagnostic code as well","A tiny slice of the skin is then removed with a small razorblade. To observe the microfilariae, the skin snip is placed in saline or incubated in a cultured medium. The microfilarial load is estimated using PCR to determine presence of DNA"
ss,9,"Skin snip, no further details",,"A tiny slice of the skin is then removed with a small razorblade. To observe the microfilariae, the skin snip is placed in saline or incubated in a cultured medium. The microfilarial load can be estimated with this method by counting the emerging microfilariae using PCR or microscopy."
ss,10,Skin Snip - Membrane Filter Concentration Technique,,
nod,30,Any palpable nodules,Onchocercomata,"A clinician or trained health worker feels a patient's body with there hand to feel for presence of worm-filled, hard nodules"
nod,92,Skin Snip w/PCR + Any Palpale Nodules,,Combination of techniques
nod,95,Skin Snip (non-PCR) + Any Palpale Nodules,,Combination of techniques
nod,39,"Nodules, no further info",Onchocercomata,A clinician or trained health identifies worm-filled nodules but there is not further information provided on technique or location
sero,100,ELISA OV16,,Enzyme-linked immunosorbent assay - identifies presence of onchocerciasis OV16 antigen using IgG4 antibodies
sero,102,Ov16 RDT,IgG4 rapid test,Rapid Diagnostic Test - identifies presence of onchocerciasis OV16 antigen using IgG4 antibodies
sero,416,"ELISA OvMBP16, OvMBP11, OvMBP7",,
sero,426,"ELISA Ov PBS/NOG, Ov MBP/10, Ov MBP/11, Ov MBP/29",,
sero,427,IFA test,Indirect fluorescent antibody test,
sero,429,IHA test,indirect hemagglutination test,
eye_general,29,"Ocular onchocerciasis, no further details",,
eye_general,131,History of Eye Disease,,
eye_symptoms,130,Eye Discomfort,,
eye_symptoms,150,Eye Itching,,
eye_symptoms,13,IVIE impaired vision/eye itching,,
eye_symptoms,141,Motion Sensitivity Screening Test (MSST),,
eye_vision-loss,143,Visual Impairment,,WHO definition/ICD: Visual Acuity score on Snellen Test worse than 6/18 - measure in the "best Corrected Vision in the better eye"
eye_vision-loss,139,Moderate Visual impairment,,WHO definition/ICD: Visual Acuity score on Snellen Test between 6/18 and <=6/60 - measure in the "best Corrected Vision in the better eye"
eye_vision-loss,140,Severe Visual impairment,,WHO definition/ICD: Visual Acuity score on Snellen Test between <6/60 and <=3/60 - measure in the "best Corrected Vision in the better eye"
eye_vision-loss,25,Blindness,,WHO definition/ICD: Visual Acuity of <3/60
eye_vision-loss,411,Blindness due to oncho,,
eye_vision-loss,434,low vision due to oncho,,
eye_vision-loss,441,uniocular blindness due to oncho,,
eye_vision-loss,151,Uniocular Blindness (only one eye blind),One eye blind,One eye blind only
eye_vision-loss,145,Night Blindness,,
eye_vision-loss,146,Photophobia,,
